"id";"name";"full_name";"number";"party";"federation";"occupation";"status";"status_checked_at";"tse_url"
"210002539820";"Andreia Margarezi";"Andreia Leticia Margarezi";"12777";"PDT";"";"Assistente Social";"Deferido";"2026-09-21T17:06:19.969136+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539820"
"210002539801";"Bruno Berté";"Bruno Berté";"12121";"PDT";"";"Advogado";"Deferido";"2026-09-21T17:06:20.884453+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539801"
"210002539793";"Carlos Breik";"Carlos Augusto Goncalves Leite";"12612";"PDT";"";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:22.823676+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539793"
"210002539797";"Carlos Muchale";"Carlos Alberto Muchale";"12789";"PDT";"";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:21.027234+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539797"
"210002539821";"Cátina Monteiro";"Cátina Monteiro Frescura";"12912";"PDT";"";"Vereador";"Deferido";"2026-09-21T17:06:20.823749+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539821"
"210002539788";"Cristiano Cardoso";"Cristiano dos Santos Cardoso";"12800";"PDT";"";"Empresário";"Deferido";"2026-09-21T17:06:22.958609+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539788"
"210002539795";"Danrlei Massena";"Danrlei dos Santos Massena";"12444";"PDT";"";"Vereador";"Deferido";"2026-09-21T17:06:18.083497+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539795"
"210002539798";"Diego Picucha";"Diego Dal Piva da Luz";"12900";"PDT";"";"Comerciante";"Deferido";"2026-09-21T17:06:18.019732+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539798"
"210002539781";"Dr. Alvaro Meira";"Alvaro Luiz Pimenta Meira";"12888";"PDT";"";"Advogado";"Deferido";"2026-09-21T17:06:16.891023+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539781"
"210002539777";"Dr. Thiago";"Thiago Pereira Duarte";"12122";"PDT";"";"Deputado";"Deferido";"2026-09-21T17:06:21.197272+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539777"
"210002539810";"Eduardo Loureiro";"Eduardo Debacco Loureiro";"12412";"PDT";"";"Administrador";"Deferido";"2026-09-21T17:06:17.856024+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539810"
"210002539785";"Evânia Nunes";"Evania Maria Silveira Nunes de Lima";"12666";"PDT";"";"Vereador";"Deferido";"2026-09-21T17:06:19.494380+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539785"
"210002539814";"Gabriela Ortiz";"Gabriela Ortiz Abenel";"12132";"PDT";"";"Outros";"Deferido";"2026-09-21T17:06:18.096403+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539814"
"210002539815";"Garçom Roni";"Roni da Silva";"12999";"PDT";"";"Garçom";"Deferido";"2026-09-21T17:06:15.149997+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539815"
"210002539809";"Gerson Burmann";"Gerson Burmann";"12312";"PDT";"";"Deputado";"Deferido";"2026-09-21T17:06:20.920471+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539809"
"210002539803";"Gilmar Sossella";"Gilmar Sossella";"12333";"PDT";"";"Deputado";"Deferido";"2026-09-21T17:06:17.031824+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539803"
"210002539811";"Giuliano Tamagno";"Giuliano Tamagno";"12190";"PDT";"";"Advogado";"Deferido";"2026-09-21T17:06:19.858845+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539811"
"210002539799";"Guto Lopes";"Carlos Augusto da Silva Lopes";"12512";"PDT";"";"Jornalista e Redator";"Deferido";"2026-09-21T17:06:21.111783+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539799"
"210002539812";"João Marcos";"João Marcos Bassani dos Santos";"12233";"PDT";"";"Servidor Público Federal";"Deferido";"2026-09-21T17:06:17.086158+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539812"
"210002539787";"Leidinara Marques";"Leidinara Ferreira Marques";"12613";"PDT";"";"Assistente Social";"Deferido";"2026-09-21T17:06:15.872541+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539787"
